date, pm25, pm10, o3, no2, so2, co
2021/12/28, 33, 10, 28, 22, 1, 3
2021/12/29, 44, 20, 23, 24, 1, 3
2021/12/30, 61, 18, 32, 22, 1, 3
2021/12/31, 56, 7, 28, 5, 1, 2
2022/1/1, 23, 7, 31, 13, 1, 2
2022/1/2, 34, 12, 30, 18, 1, 3
2022/1/3, 47, 17, 33, 23, 1, 4
2021/7/2, 34, 13, 25, 18, 1, 2
2021/7/3, 36, 15, 27, 16, 1, 2
2021/7/4, 49, 28, 25, 13, 1, 2
2021/7/5, 66, 29, 20, 15, 1, 2
2021/7/6, 59, 30, 28, 21, 1, 2
2021/7/7, 67, 25, 19, 20, 1, 2
2021/7/8, 57, 15, 13, 24, 1, 3
2021/7/9, 47, 27, 27, 26, 1, 4
2021/7/10, 57, 23, 41, 20, 1, 3
2021/7/11, 61, 24, 66, 15, 1, 3
2021/7/12, 65, 21, 41, 14, 1, 3
2021/7/13, 59, 17, 44, 14, 1, 3
2021/7/14, 57, 21, 32, 23, 1, 2
2021/7/15, 61, 17, 48, 23, 1, 2
2021/7/16, 52, 14, 18, 11, 1, 2
2021/7/17, 42, 13, 18, 8, 1, 2
2021/7/18, 43, 13, 17, 8, 1, 1
2021/7/19, 41, 15, 41, 12, 1, 2
2021/7/20, 48, 19, 46, 17, 1, 2
2021/7/21, 61, 16, 33, 16, 1, 2
2021/7/22, 55, 16, 36, 10, 1, 1
2021/7/23, 55, 14, 35, 11, 1, 1
2021/7/24, 51, 13, 32, 13, 1, 1
2021/7/25, 49, 14, 34, 8, 1, 2
2021/7/26, 53, 17, 43, 17, 1, 2
2021/7/27, 62, 21, 30, 16, 1, 2
2021/7/28, 59, 20, 29, 14, 1, 2
2021/7/29, 56, 21, 58, 15, 1, 2
2021/7/30, 62, 26, 67, 19, 1, 2
2021/7/31, 70, 28, 62, 15, 1, 2
2021/8/1, 75, 27, 58, 10, 1, 2
2021/8/2, 73, 22, 35, 13, 1, 2
2021/8/3, 68, 14, 29, 14, 1, 2
2021/8/4, 41, 18, 40, 14, 1, 2
2021/8/5, 48, 20, 46, 18, 1, 2
2021/8/6, 60, 13, 22, 12, 1, 2
2021/8/7, 48, 9, 16, 5, 1, 1
2021/8/8, 29, 20, 42, 11, 1, 1
2021/8/9, 56, 14, 24, 7, 1, 1
2021/8/10, 42, 11, 23, 14, 1, 1
2021/8/11, 40, 19, 41, 20, 1, 2
2021/8/12, 58, 19, 23, 21, 1, 4
2021/8/13, 53, 11, 14, 13, 1, 2
2021/8/14, 33, 15, 30, 11, 1, 1
2021/8/15, 38, 8, 45, 13, 1, 2
2021/8/16, 36, 13, 34, 12, 1, 2
2021/8/17, 48, 10, 14, 16, 1, 2
2021/8/18, 37, 12, 20, 13, 1, 2
2021/8/19, 40, 12, 23, 20, 1, 2
2021/8/20, 38, 11, 21, 16, 1, 2
2021/8/21, 40, 13, 23, 14, 1, 2
2021/8/22, 47, 15, 17, 10, 1, 2
2021/8/23, 45, 20, 39, 16, 1, 2
2021/8/24, 52, 19, 19, 16, 1, 2
2021/8/25, 50, 23, 24, 15, 1, 2
2021/8/26, 51, 30, 36, 19, 2, 2
2021/8/27, 66, 27, 69, 22, 2, 2
2021/8/28, 70, 26, 55, 19, 1, 3
2021/8/29, 71, 17, 48, 10, 1, 2
2021/8/30, 56, 25, 67, 14, 1, 2
2021/8/31, 64, 18, 39, 15, 1, 3
2021/9/1, 57, 28, 51, 24, 1, 2
2021/9/2, 77, 30, 23, 15, 1, 2
2021/9/3, 66, 12, 18, 17, 1, 3
2021/9/4, 42, 15, 26, 16, 1, 3
2021/9/5, 44, 14, 38, 11, 1, 2
2021/9/6, 49, 13, 36, 13, 1, 2
2021/9/7, 41, 12, 37, 14, 1, 2
2021/9/8, 44, 13, 35, 15, 1, 2
2021/9/9, 40, 10, 36, 17, 1, 3
2021/9/10, 36, 13, 67, 15, 1, 3
2021/9/11, 43, 21, 59, 18, 1, 3
2021/9/12, 62, 21, 37, 13, 1, 3
2021/9/13, 63, 17, 36, 14, 1, 3
2021/9/14, 54, 14, 31, 18, 1, 9
2021/9/15, 48, 13, 34, 12, 1, 22
2021/9/16, 47, 18, 40, 16, 1, 3
2021/9/17, 57, 15, 33, 17, 1, 3
2021/9/18, 45, 8, 33, 16, 1, 3
2021/9/19, 31, 14, 35, 10, 1, 3
2021/9/20, 42, 16, 41, 10, 1, 2
2021/9/21, 52, 13, 38, 17, 1, 3
2021/9/22, 47, 16, 40, 19, 1, 3
2021/9/23, 50, 27, 74, 21, 1, 3
2021/9/24, 72, 14, 34, 18, 1, 3
2021/9/25, 50, 15, 45, 14, 1, 3
2021/9/26, 53, 10, 30, 10, 1, 3
2021/9/27, 42, 12, 41, 18, 1, 3
2021/9/28, 47, 16, 41, 19, 1, 2
2021/9/29, 55, 16, 38, 19, 1, 3
2021/9/30, 57, 16, 36, 19, 1, 3
2021/10/1, 52, 14, 37, 19, 1, 2
2021/4/2, 73, 39, 46, 18, 1, 4
2021/4/3, 78, 24, 40, 15, 1, 3
2021/4/4, 57, 23, 36, 14, 1, 2
2021/4/5, 55, 9, 39, 10, 1, 2
2021/4/6, 33, 17, 35, 25, 1, 2
2021/4/7, 52, 15, 45, 17, 1, 2
2021/4/8, 47, 17, 44, 19, 1, 2
2021/4/9, 55, 13, 41, 15, 1, 2
2021/4/10, 49, 12, 37, 16, 1, 2
2021/4/11, 44, 13, 46, 16, 1, 2
2021/4/12, 52, 15, 41, 16, 1, 2
2021/4/13, 45, 11, 38, 20, 1, 2
2021/4/14, 39, 11, 42, 17, 1, 2
2021/4/15, 38, 14, 43, 20, 1, 3
2021/4/16, 39, 15, 38, 21, 1, 2
2021/4/17, 47, 11, 34, 24, 1, 3
2021/4/18, 41, 21, 38, 14, 1, 2
2021/4/19, 54, 27, 43, 17, 1, 4
2021/4/20, 65, 33, 72, 29, 1, 4
2021/4/21, 77, 28, 53, 27, 1, 3
2021/4/22, 86, 19, 44, 29, 1, 3
2021/4/23, 60, 22, 52, 24, 1, 2
2021/4/24, 68, 26, 54, 18, 1, 2
2021/4/25, 68, 16, 46, 14, 1, 3
2021/4/26, 56, 14, 41, 9, 1, 1
2021/4/27, 52, 14, 47, 22, 1, 2
2021/4/28, 52, 17, 30, 24, 1, 3
2021/4/29, 56, 7, 33, 19, 1, 2
2021/4/30, 33, 23, 56, 20, 1, 3
2021/5/1, 60, 29, 48, 18, 1, 3
2021/5/2, 68, 13, 42, 11, 1, 2
2021/5/3, 48, 18, 48, 15, 1, 2
2021/5/4, 59, 18, 56, 18, 3, 2
2021/5/5, 60, 17, 33, 17, 1, 2
2021/5/6, 54, 21, 74, 23, 1, 5
2021/5/7, 56, 22, 34, 28, 1, 4
2021/5/8, 62, 27, 49, 18, 1, 3
2021/5/9, 67, 42, 62, 14, 1, 3
2021/5/10, 89, 23, 50, 22, 1, 2
2021/5/11, 59, 16, 46, 21, 1, 2
2021/5/12, 56, 16, 42, 16, 1, 3
2021/5/13, 53, 11, 42, 18, 1, 2
2021/5/14, 47, 17, 68, 23, 1, 3
2021/5/15, 63, 14, 36, 15, 1, 2
2021/5/16, 54, 8, 33, 12, 1, 2
2021/5/17, 39, 18, 25, 14, 1, 2
2021/5/18, 47, 17, 32, 23, 1, 4
2021/5/19, 50, 27, 28, 24, 1, 5
2021/5/20, 61, 15, 25, 23, 1, 4
2021/5/21, 49, 14, 42, 22, 1, 3
2021/5/22, 44, 18, 42, 22, 1, 3
2021/5/23, 55, 18, 54, 14, 1, 2
2021/5/24, 60, 19, 48, 23, 1, 3
2021/5/25, 66, 22, 58, 20, 1, 2
2021/5/26, 63, 27, 46, 21, 1, 2
2021/5/27, 68, 17, 39, 26, 1, 3
2021/5/28, 50, 26, 63, 25, 1, 4
2021/5/29, 63, 24, 52, 20, 2, 3
2021/5/30, 68, 17, 48, 15, 1, 2
2021/5/31, 56, 15, 74, 21, 1, 2
2021/6/1, 56, 18, 84, 23, 1, 2
2021/6/2, 65, 17, 45, 16, 1, 2
2021/6/3, 58, 15, 38, 13, 1, 1
2021/6/4, 48, 8, 40, 20, 1, 3
2021/6/5, 32, 16, 45, 19, 1, 3
2021/6/6, 59, 17, 66, 18, 1, 3
2021/6/7, 60, 20, 89, 27, 1, 3
2021/6/8, 66, 28, 76, 27, 2, 3
2021/6/9, 85, 24, 73, 19, 1, 3
2021/6/10, 77, 26, 63, 23, 1, 2
2021/6/11, 77, 18, 40, 18, 1, 2
2021/6/12, 64, 16, 44, 17, 1, 2
2021/6/13, 58, 20, 27, 8, 1, 2
2021/6/14, 59, 17, 40, 16, 1, 2
2021/6/15, 57, 20, 64, 21, 1, 4
2021/6/16, 62, 13, 34, 15, 1, 2
2021/6/17, 53, 16, 51, 16, 1, 3
