date, pm25, pm10, o3, no2, so2, co
2020/8/28, 44, 25, 42, 17, 1, 3
2020/8/29, 46, 20, 41, 17, 3, 2
2020/8/30, 51, 25, 39, 12, 3, 2
2020/8/31, 60, 22, 39, 18, 3, 2
2020/9/1, 57, 21, 31, 15, 2, 2
2020/9/2, 50, 21, 25, 15, 2, 1
2020/9/3, 41, 29, 12, 19, 1, 3
2020/9/4, 51, 35, 32, 21, 3, 3
2020/9/5, 62, 20, 26, 15, 3, 2
2020/9/6, 53, 14, 21, 8, 1, 1
2020/9/7, 39, 19, 17, 12, 1, 1
2020/9/8, 40, , , , , 
2020/9/14, 29, 11, 25, 16, 1, 2
2020/9/15, 30, 17, 46, 17, 2, 3
2020/9/16, 41, 22, 50, 20, 2, 2
2020/9/17, 53, 22, 36, 19, 2, 2
2020/9/18, 50, 23, 35, 18, 1, 2
2020/9/19, 43, 18, 39, 19, 1, 2
2020/9/20, 52, 21, 51, 20, 3, 3
2020/9/21, 59, 17, 39, 12, 2, 2
2020/9/22, 53, 19, 42, 12, 2, 3
2020/9/23, 56, 22, 36, 17, 3, 3
2020/9/24, 62, 28, 45, 25, 2, 3
2020/9/25, 68, 17, 23, 18, 2, 3
2020/9/26, 40, 14, 26, 20, 1, 3
2020/9/27, 43, 15, 32, 16, 1, 2
2020/9/28, 36, 16, 29, 19, 1, 3
2020/9/29, 43, 21, 39, 22, 2, 3
2020/9/30, 52, 19, 31, 22, 3, 3
2020/10/1, 55, 17, 33, 20, 2, 2
2020/4/2, 35, 17, 39, 21, 2, 3
2020/4/3, 50, 25, 43, 26, 4, 4
2020/4/4, 66, 26, 58, 26, 2, 4
2020/4/5, 68, 15, 37, 11, 1, 2
2020/4/6, 42, 19, 40, 21, 3, 2
2020/4/7, 55, 37, 47, 28, 5, 3
2020/4/8, 86, 37, 77, 28, 4, 4
2020/4/9, 90, 19, 45, 20, 3, 2
2020/4/10, 72, 14, 40, 18, 2, 2
2020/4/11, 48, 18, 40, 19, 2, 2
2020/4/12, 52, 18, 43, 17, 2, 2
2020/4/13, 47, 14, 38, 19, , 3
2020/4/14, 34, 15, 38, 14, 3, 2
2020/4/15, 44, 19, 42, 33, 2, 4
2020/4/16, 65, 22, 54, 27, 4, 4
2020/4/17, 75, 20, 45, 22, 2, 3
2020/4/18, 59, 24, 45, 24, 1, 3
2020/4/19, 66, 10, 43, 13, 2, 2
2020/4/20, 24, 11, 47, 24, 2, 2
2020/4/21, 34, 21, 49, 26, 4, 4
2020/4/22, 58, 17, 39, 18, 2, 2
2020/4/23, 49, 19, 36, 20, 3, 2
2020/4/24, 52, 19, 42, 25, 3, 3
2020/4/25, 53, 21, 52, 24, 5, 3
2020/4/26, 57, 27, 79, 20, 6, 3
2020/4/27, 73, 24, 50, 19, 3, 3
2020/4/28, 61, 15, 45, 19, 2, 2
2020/4/29, 55, 19, 69, 20, 3, 2
2020/4/30, 63, 26, 68, 24, 2, 3
2020/5/1, 76, 31, 58, 22, 3, 2
2020/5/2, 85, 97, 72, 22, 7, 2
2020/5/3, 111, 38, 44, 12, 2, 2
2020/5/4, 96, 13, 38, 12, 2, 2
2020/5/5, 41, 15, 39, 11, 3, 2
2020/5/6, 45, 14, 37, 13, 2, 2
2020/5/7, 46, 12, 40, 15, 2, 1
2020/5/8, 38, 18, 52, 21, 3, 2
2020/5/9, 50, 16, 40, 16, 1, 2
2020/5/10, 50, 21, 27, 13, 1, 2
2020/5/11, 47, 20, 58, 18, 3, 3
2020/5/12, 57, 29, 65, 30, 2, 3
2020/5/13, 78, 24, 47, 26, 5, 3
2020/5/14, 64, 28, 70, 30, 2, 3
2020/5/15, 66, 22, 58, 29, 4, 3
2020/5/16, 81, 15, 37, 18, 1, 3
2020/5/17, 43, 14, 39, 13, 2, 3
2020/5/18, 39, 17, 41, 15, 1, 3
2020/5/19, 48, 22, 51, 25, 1, 3
2020/5/20, 48, 23, 40, 22, 2, 2
2020/5/21, 55, 20, 30, 16, 1, 2
2020/5/22, 49, 22, 41, 13, 1, 2
2020/5/23, 54, 24, 48, 16, 3, 2
2020/5/24, 59, 16, 43, 12, 2, 2
2020/5/25, 46, 26, 51, 25, 2, 2
2020/5/26, 56, 28, 38, 27, 3, 3
2020/5/27, 67, 23, 52, 21, 3, 3
2020/5/28, 60, 19, 49, 21, 3, 2
2020/5/29, 60, 19, 48, 22, 3, 2
2020/5/30, 55, 20, 66, 19, 2, 3
2020/5/31, 60, 15, 40, 11, 1, 2
2020/6/1, 51, 12, 45, 13, 1, 2
2020/6/2, 41, 26, 87, 28, 1, 3
2020/6/3, 67, 36, 74, 31, 2, 3
2020/6/4, 87, 43, 98, 32, 3, 3
2020/6/5, 106, 48, 92, 30, 5, 3
2020/6/6, 102, 40, 55, 20, 1, 2
2020/6/7, 86, 14, 38, 13, 3, 2
2020/6/8, 41, 25, 77, 22, 4, 2
2020/6/9, 61, 41, 78, 27, 3, 2
2020/6/10, 86, 21, 33, 18, 2, 2
2020/6/11, 48, 25, 12, 15, 1, 2
2020/6/12, 44, 28, 24, 21, 1, 2
2020/6/13, 49, 20, 27, 18, 1, 2
2020/6/14, 42, 34, 21, 12, 1, 2
2020/6/15, 56, 33, 54, 21, 1, 3
2020/6/16, 64, 33, 65, 27, 2, 3
2020/6/17, 73, 18, 60, 20, 2, 2
2020/6/18, 48, 26, 43, 20, 1, 2
2020/6/19, 61, 16, 42, 22, 1, 2
2020/6/20, 39, 23, 31, 17, 2, 2
2020/6/21, 55, 17, 41, 11, 2, 2
2020/6/22, 57, 21, 37, 19, 2, 2
2020/6/23, 57, 28, 50, 15, 3, 2
2020/6/24, 65, 23, 42, 17, 2, 2
2020/6/25, 60, 19, 29, 21, 1, 3
2020/6/26, 46, 39, 35, 24, 1, 3
2020/6/27, 63, 36, 59, 22, 2, 3
2020/6/28, 73, 21, 39, 16, 1, 2
2020/6/29, 51, 28, 63, 22, 1, 3
2020/6/30, 64, 31, 27, 21, 1, 3
2020/7/1, 57, 33, 49, 24, 1, 3
2020/1/2, 39, 17, 27, 22, 1, 4
2020/1/3, 57, 25, 30, 27, 2, 5
2020/1/4, 70, 20, 33, 24, 2, 4
2020/1/5, 58, 10, 29, 19, 1, 3
2020/1/6, 40, 13, 26, 24, 1, 4
2020/1/7, 40, 14, 18, 29, 1, 4
2020/1/8, 44, 14, 29, 23, 2, 4
2020/1/9, 33, 13, 29, 25, 1, 3
2020/1/10, 29, 6, 28, 23, 2, 3
2020/1/11, 21, 14, 24, 28, 2, 5
2020/1/12, 41, 25, 13, 29, 2, 7
2020/1/13, 73, 18, 31, 25, 1, 4
2020/1/14, 55, 19, 26, 34, 2, 5
2020/1/15, 58, 17, 27, 28, 2, 5
2020/1/16, 47, 15, 23, 25, 1, 5
2020/1/17, 30, 20, 17, 28, 2, 5
2020/1/18, 61, 14, 32, 28, 1, 4
2020/1/19, 44, 14, 30, 22, 2, 4
2020/1/20, 47, 25, 34, 35, 1, 7
2020/1/21, 73, 15, 31, 19, 1, 5
2020/1/22, 50, 19, 20, 21, 2, 4
2020/1/23, 53, 21, 20, 21, 2, 7
2020/1/24, 43, 28, 33, 18, 3, 7
2020/1/25, 58, 13, 30, 16, 2, 2
2020/1/26, 39, 10, 28, 18, 2, 2
2020/1/27, 36, 9, 32, 25, 2, 3
2020/1/28, 28, 10, 31, 26, 2, 4
2020/1/29, 20, 11, 29, 23, 2, 3
2020/1/30, 18, 7, 28, 24, 4, 3
2020/1/31, 15, 9, 31, 14, 1, 3
2020/2/1, 28, 11, 32, 26, 2, 3
2020/2/2, 36, 15, 33, 26, 3, 4
2020/2/3, 52, 25, 37, 30, 2, 6
2020/2/4, 73, 19, 31, 36, 3, 5
2020/2/5, 55, 19, 33, 31, 2, 5
2020/2/6, 54, 8, 28, 22, 1, 3
2020/2/7, 28, 15, 28, 31, 3, 5
2020/2/8, 46, 19, 33, 31, 3, 6
2020/2/9, 56, 12, 32, 16, 1, 2
2020/2/10, 37, 15, 31, 29, 2, 4
2020/2/11, 47, 15, 33, 27, 2, 4
2020/2/12, 50, 18, 29, 36, 2, 4
2020/2/13, 59, 24, 28, 33, 3, 6
2020/2/14, 58, 21, 18, 36, 3, 8
2020/2/15, 59, 22, 23, 32, 3, 7
2020/2/16, 61, 21, 24, 26, 2, 5
2020/2/17, 53, 14, 33, 20, 3, 4
2020/2/18, 43, 12, 30, 22, 1, 4
2020/2/19, 41, 12, 29, 26, 3, 4
2020/2/20, 41, 16, 33, 31, 2, 4
2020/2/21, 50, 17, 35, 32, 3, 4
2020/2/22, 49, 26, 31, 37, 2, 6
2020/2/23, 64, 26, 32, 24, 3, 3
2020/2/24, 63, 21, 30, 28, 3, 5
2020/2/25, 57, 26, 17, 39, 3, 8
2020/2/26, 67, 18, 37, 25, 2, 4
2020/2/27, 54, 10, 31, 19, 1, 3
2020/2/28, 31, 11, 27, 26, 1, 3
2020/2/29, 29, 14, 26, 25, 2, 3
2020/3/1, 41, 15, 34, 22, 3, 3
2020/3/2, 47, 20, 36, 25, 3, 4
2020/3/3, 56, 11, 32, 10, 2, 3
2020/3/4, 31, 16, 23, 32, 2, 4
2020/3/5, 46, 20, 36, 22, 1, 4
2020/3/6, 49, 17, 34, 23, 2, 4
2020/3/7, 50, 15, 37, 24, 4, 7
2020/3/8, 49, 10, 35, 20, 2, 2
2020/3/9, 37, 18, 31, 31, 4, 4
2020/3/10, 58, 14, 33, 30, 2, 4
2020/3/11, 40, 7, 35, 19, 2, 3
2020/3/12, 31, 18, 34, 24, 3, 3
2020/3/13, 53, 26, 32, 34, 6, 4
2020/3/14, 66, 20, 32, 27, 3, 3
2020/3/15, 57, 18, 35, 20, 3, 3
2020/3/16, 49, 15, 32, 24, 1, 2
2020/3/17, 42, 19, 34, 31, 3, 4
2020/3/18, 56, 28, 43, 34, 3, 5
2020/3/19, 72, 28, 43, 34, 6, 4
2020/3/20, 72, 20, 34, 16, 3, 3
2020/3/21, 56, 21, 36, 25, 4, 4
2020/3/22, 57, 29, 49, 21, 5, 4
2020/3/23, 69, 20, 41, 17, 4, 3
2020/3/24, 53, 22, 37, 23, 3, 3
2020/3/25, 64, 15, 38, 25, 3, 3
2020/3/26, 50, 22, 46, 35, 6, 4
2020/3/27, 59, 36, 20, 36, 4, 5
2020/3/28, 81, 14, 35, 21, 2, 3
2020/3/29, 38, 9, 35, 9, 2, 2
2020/3/30, 24, , , , , 
2019/10/2, 54, 24, 38, 24, 5, 3
2019/10/3, 61, 21, 37, 22, 6, 3
2019/10/4, 55, 17, 32, 22, 5, 3
2019/10/5, 28, 20, 34, 20, 1, 3
2019/10/6, 54, 18, 29, 16, 3, 2
2019/10/7, 43, 15, 34, 16, 4, 3
2019/10/8, 43, 25, 31, 27, 5, 3
2019/10/9, 45, 16, 33, 23, 4, 3
2019/10/10, 41, 18, 42, 29, 3, 4
2019/10/11, 50, 23, 32, 24, 7, 4
2019/10/12, 57, 10, 35, 14, 3, 1
2019/10/13, 29, 16, 32, 15, 1, 2
2019/10/14, 41, 17, 24, 15, 2, 2
2019/10/15, 43, 15, 32, 21, 2, 3
2019/10/16, 37, 16, 33, 21, 2, 3
2019/10/17, 38, 18, 29, 22, 3, 3
2019/10/18, 51, 14, 29, 21, 3, 3
2019/10/19, 46, 12, 29, 22, 3, 3
2019/10/20, 31, 12, 36, 19, 2, 2
2019/10/21, 37, 17, 28, 25, 3, 4
2019/10/22, 46, 14, 34, 22, 3, 2
2019/10/23, 39, 16, 34, 18, 4, 4
2019/10/24, 43, 14, 30, 10, 3, 3
2019/10/25, 37, 10, 34, 11, 2, 4
2019/10/26, 21, 13, 30, 13, 1, 4
2019/10/27, 32, 16, 36, 5, 2, 4
2019/10/28, 46, 12, 36, 11, 3, 4
2019/10/29, 37, 15, 22, 19, 3, 5
2019/10/30, 46, 36, 41, 28, 2, 5
2019/10/31, 81, 45, 43, 34, 2, 6
2019/11/1, 90, 42, 43, 30, 2, 5
2019/11/2, 86, 19, 36, 25, 1, 4
2019/11/3, 50, 23, 32, 24, 2, 4
2019/11/4, 61, 16, 31, 20, 1, 3
2019/11/5, 45, 16, 32, 26, 1, 3
2019/11/6, 44, 18, 31, 26, 1, 3
2019/11/7, 54, 28, 31, 34, 4, 5
2019/11/8, 68, 18, 32, 28, 1, 3
2019/11/9, 49, 15, 32, 26, 1, 4
2019/11/10, 49, 16, 32, 23, 1, 3
2019/11/11, 42, 23, 28, 34, 1, 6
2019/11/12, 58, 22, 35, 30, 1, 7
2019/11/13, 59, 20, 34, 35, 1, 8
2019/11/14, 58, 20, 29, 26, 1, 4
2019/11/15, 51, 15, 30, 27, 1, 4
2019/11/16, 53, 26, 28, 34, 2, 5
2019/11/17, 65, 26, 37, 28, 1, 5
2019/11/18, 64, 27, 26, 36, 1, 6
2019/11/19, 60, 20, 31, 19, 1, 3
2019/11/20, 48, 11, 27, 22, 2, 2
2019/11/21, 33, 13, 26, 25, 1, 4
2019/11/22, 40, 17, 14, 28, 1, 4
2019/11/23, 47, 21, 34, 22, 1, 3
2019/11/24, 59, 28, 28, 28, 2, 5
2019/11/25, 67, 25, 28, 22, 1, 4
2019/11/26, 57, 12, 29, 20, 1, 3
2019/11/27, 36, 16, 24, 22, 1, 3
2019/11/28, 37, 12, 28, 22, 1, 3
2019/11/29, 21, 10, 27, 23, 2, 4
2019/11/30, 25, 10, 28, 23, 2, 4
2019/12/1, 34, 6, 30, 28, 2, 4
2019/12/2, 50, 9, 29, 32, 2, 5
2019/12/3, 47, 13, 30, 25, 1, 3
2019/12/4, 36, 15, 27, 28, 3, 4
2019/12/5, 53, 18, 29, 28, 2, 4
2019/12/6, 45, 9, 27, 23, 3, 3
2019/12/7, 30, 12, 20, 24, 2, 4
2019/12/8, 43, 16, 24, 26, 2, 5
2019/12/9, 52, 16, 28, 32, 3, 6
2019/12/10, 37, 27, 26, 40, 3, 8
2019/12/11, 72, 40, 13, 44, 4, 9
2019/12/12, 107, 30, 27, 34, 3, 8
2019/12/13, 79, 13, 22, 28, 2, 5
2019/12/14, 41, 18, 29, 28, 2, 5
2019/12/15, 54, 15, 28, 23, 3, 4
2019/12/16, 46, 16, 25, 34, 3, 5
2019/12/17, 53, 32, 15, 40, 3, 8
2019/12/18, 73, 33, 27, 32, 2, 6
2019/12/19, 71, 22, 20, 33, 2, 6
2019/12/20, 66, 18, 28, 31, 2, 4
2019/12/21, 55, 22, 19, 32, 3, 6
2019/12/22, 69, 18, 26, 23, 3, 4
2019/12/23, 60, 20, 22, 32, 3, 5
2019/12/24, 58, 14, 28, 30, 2, 6
2019/12/25, 48, 15, 28, 34, 3, 6
2019/12/26, 50, 25, 19, 35, 3, 7
2019/12/27, 73, 15, 30, 24, 2, 5
2019/12/28, 46, 14, 27, 27, 1, 5
2019/12/29, 44, 12, 29, 24, 2, 4
2019/12/30, 40, , , , , 
2019/7/2, 47, 31, 54, 32, 4, 4
2019/7/3, 71, 45, 45, 33, 5, 5
2019/7/4, 89, 24, 40, 24, 2, 2
2019/7/5, 60, 26, 48, 24, 3, 3
2019/7/6, 66, 17, 50, 21, 2, 2
2019/7/7, 51, 20, 36, 14, 3, 2
2019/7/8, 58, 25, 63, 26, 5, 3
2019/7/9, 65, 19, 36, 22, 3, 3
2019/7/10, 56, 23, 39, 21, 2, 3
2019/7/11, 63, 15, 33, 23, 2, 2
2019/7/12, 35, 19, 61, 28, 3, 3
2019/7/13, 48, 20, 48, 23, 4, 3
2019/7/14, 55, 12, 40, 18, 2, 3
2019/7/15, 39, 16, 32, 18, 3, 3
2019/7/16, 47, 19, 45, 20, 5, 3
2019/7/17, 53, 20, 65, 23, 4, 3
2019/7/18, 52, 25, 29, 21, 3, 3
2019/7/19, 55, 13, 23, 24, 3, 3
2019/7/20, 38, 24, 28, 20, 4, 3
2019/7/21, 57, 23, 18, 12, 4, 3
2019/7/22, 57, 20, 15, 16, 4, 4
2019/7/23, 46, 27, 47, 27, 5, 4
2019/7/24, 60, 33, 76, 25, 6, 4
2019/7/25, 73, 32, 70, 24, 7, 4
2019/7/26, 73, 22, 20, 16, 4, 2
2019/7/27, 51, 18, 13, 15, 2, 3
2019/7/28, 41, 42, 37, 17, 3, 2
2019/7/29, 87, 41, 63, 25, 6, 3
2019/7/30, 83, 42, 56, 26, 5, 3
2019/7/31, 89, 44, 55, 22, 3, 3
2019/8/1, 88, 59, 45, 21, 5, 3
2019/8/2, 109, 52, 78, 27, 6, 3
2019/8/3, 103, 45, 54, 21, 8, 3
2019/8/4, 83, 28, 44, 13, 6, 2
2019/8/5, 63, 16, 22, 13, 5, 1
2019/8/6, 32, 16, 13, 8, 2, 2
2019/8/7, 27, 17, 28, 10, 4, 2
2019/8/8, 29, 22, 57, 11, 4, 2
2019/8/9, 42, 22, 81, 19, 3, 3
2019/8/10, 50, 25, 77, 21, 7, 3
2019/8/11, 62, 21, 30, 10, 5, 2
2019/8/12, 51, 14, 13, 6, 4, 1
2019/8/13, 34, 20, 17, 8, 3, 2
2019/8/14, 41, 29, 16, 6, 1, 2
2019/8/15, 50, 25, 20, 5, 2, 2
2019/8/16, 45, 35, 42, 21, 2, 3
2019/8/17, 62, 40, 67, 20, 2, 4
2019/8/18, 79, 45, 67, 19, 6, 4
2019/8/19, 86, 42, 39, 24, 5, 4
2019/8/20, 82, 26, 27, 20, 5, 4
2019/8/21, 50, 35, 35, 24, 6, 3
2019/8/22, 66, 40, 33, 21, 4, 3
2019/8/23, 70, 25, 32, 24, 3, 4
2019/8/24, 51, 29, 57, 26, 2, 5
2019/8/25, 67, 29, 61, 20, 5, 4
2019/8/26, 72, 22, 46, 21, 5, 4
2019/8/27, 56, 24, 34, 27, 3, 4
2019/8/28, 59, 21, 11, 17, 3, 3
2019/8/29, 45, 34, 21, 19, 3, 3
2019/8/30, 60, 18, 23, 17, 4, 3
2019/8/31, 45, 29, 58, 28, 4, 4
2019/9/1, 69, 36, 46, 22, 3, 5
2019/9/2, 76, 29, 32, 18, 4, 4
2019/9/3, 67, 26, 49, 22, 6, 4
2019/9/4, 64, 23, 37, 20, 6, 3
2019/9/5, 56, 16, 26, 17, 4, 3
2019/9/6, 44, 18, 15, 13, 4, 2
2019/9/7, 38, 16, 17, 10, 4, 2
2019/9/8, 34, 15, 17, 10, 2, 2
2019/9/9, 40, 25, 58, 21, 3, 3
2019/9/10, 61, 29, 38, 18, 3, 3
2019/9/11, 79, 30, 34, 23, 3, 3
2019/9/12, 69, 16, 36, 21, 5, 2
2019/9/13, 44, 20, 32, 19, 4, 3
2019/9/14, 54, 19, 43, 19, 6, 4
2019/9/15, 52, 20, 38, 14, 8, 3
2019/9/16, 51, 20, 33, 17, 2, 2
2019/9/17, 54, 18, 31, 20, 3, 4
2019/9/18, 48, 17, 33, 17, 3, 2
2019/9/19, 48, 17, 30, 20, 5, 3
2019/9/20, 46, 21, 41, 25, 4, 3
2019/9/21, 50, 20, 38, 22, 2, 3
2019/9/22, 54, 18, 31, 14, 2, 2
2019/9/23, 49, 16, 35, 14, 3, 2
2019/9/24, 42, 12, 30, 19, 3, 4
2019/9/25, 30, 14, 37, 24, 3, 3
2019/9/26, 39, 22, 46, 28, 4, 4
2019/9/27, 56, 24, 39, 24, 3, 3
2019/9/28, 55, 19, 35, 19, 4, 2
2019/9/29, 45, 19, 38, 13, 6, 3
2019/9/30, 47, 21, 29, 17, 8, 3
2019/10/1, 52, 23, 48, 22, 5, 3
2019/4/2, 43, 14, 39, 26, 1, 3
2019/4/3, 46, 19, 40, 24, 2, 3
2019/4/4, 62, 26, 52, 31, 4, 4
2019/4/5, 70, 22, 53, 43, 3, 4
2019/4/6, 71, 29, 56, 31, 3, 4
2019/4/7, 67, 35, 74, 23, 6, 4
2019/4/8, 83, 24, 51, 21, 2, 2
2019/4/9, 61, 11, 40, 16, 1, 2
2019/4/10, 35, 9, 36, 28, 1, 3
2019/4/11, 28, 10, 39, 23, 2, 2
2019/4/12, 34, 12, 42, 24, 2, 2
2019/4/13, 45, 14, 48, 26, 2, 3
2019/4/14, 50, 22, 36, 23, 4, 3
2019/4/15, 63, 19, 45, 22, 2, 2
2019/4/16, 56, 20, 53, 35, 5, 3
2019/4/17, 60, 20, 49, 31, 4, 4
2019/4/18, 58, 18, 65, 28, 4, 3
2019/4/19, 59, 24, 43, 31, 2, 4
2019/4/20, 65, 18, 55, 23, 3, 3
2019/4/21, 53, 34, 59, 18, 2, 3
2019/4/22, 85, 34, 55, 26, 2, 3
2019/4/23, 83, 29, 48, 27, 2, 3
2019/4/24, 76, 19, 33, 22, 2, 3
2019/4/25, 50, 14, 25, 24, 3, 3
2019/4/26, 38, 10, 35, 18, 2, 2
2019/4/27, 29, 12, 38, 13, 2, 2
2019/4/28, 40, 13, 38, 18, 1, 3
2019/4/29, 44, 13, 44, 16, 1, 2
2019/4/30, 42, 9, 40, 16, 1, 2
2019/5/1, 25, 9, 31, 17, 1, 3
2019/5/2, 27, 20, 47, 20, 1, 3
2019/5/3, 53, 27, 61, 24, 3, 5
2019/5/4, 71, 24, 55, 23, 2, 3
2019/5/5, 68, 22, 68, 18, 4, 3
2019/5/6, 60, 23, 55, 19, 3, 3
2019/5/7, 66, 17, 41, 20, 1, 2
2019/5/8, 46, 14, 46, 28, 2, 2
2019/5/9, 41, 20, 49, 36, 4, 4
2019/5/10, 59, 28, 74, 33, 3, 3
2019/5/11, 71, 25, 74, 30, 1, 4
2019/5/12, 71, 27, 78, 24, 6, 4
2019/5/13, 76, 31, 75, 16, 4, 3
2019/5/14, 79, 21, 46, 24, 2, 4
2019/5/15, 64, 16, 55, 21, 2, 3
2019/5/16, 50, 18, 53, 24, 3, 3
2019/5/17, 54, 18, 48, 27, 3, 3
2019/5/18, 54, 18, 44, 16, 1, 2
2019/5/19, 49, 22, 46, 11, 1, 2
2019/5/20, 54, 18, 42, 19, 1, 2
2019/5/21, 41, 17, 42, 26, 3, 3
2019/5/22, 44, 19, 64, 28, 2, 3
2019/5/23, 50, 23, 80, 37, 3, 4
2019/5/24, 53, 33, 104, 35, 7, 4
2019/5/25, 68, 35, 114, 37, 4, 4
2019/5/26, 87, 50, 114, 29, 7, 4
2019/5/27, 118, 43, 79, 32, 7, 4
2019/5/28, 98, 19, 40, 27, 2, 3
2019/5/29, 52, 18, 44, 21, 2, 2
2019/5/30, 46, 21, 88, 28, 2, 3
2019/5/31, 55, 22, 49, 32, 3, 3
2019/6/1, 59, 24, 82, 28, 2, 4
2019/6/2, 68, 28, 45, 19, 3, 3
2019/6/3, 76, 20, 67, 21, 4, 2
2019/6/4, 55, 24, 62, 25, 4, 2
2019/6/5, 60, 21, 66, 26, 4, 3
2019/6/6, 63, 35, 73, 28, 3, 3
2019/6/7, 83, 23, 39, 28, 4, 4
2019/6/8, 63, 18, 42, 23, 1, 2
2019/6/9, 51, 18, 40, 12, 3, 2
2019/6/10, 48, 14, 34, 19, 3, 3
2019/6/11, 39, 18, 42, 18, 2, 3
2019/6/12, 53, 17, 35, 19, 2, 3
2019/6/13, 49, 20, 58, 21, 3, 3
2019/6/14, 55, 16, 36, 21, 3, 3
2019/6/15, 45, 11, 41, 16, 1, 2
2019/6/16, 33, 13, 43, 12, 2, 2
2019/6/17, 41, 14, 37, 14, 3, 4
2019/6/18, 39, 17, 53, 25, 4, 3
2019/6/19, 50, 35, 93, 26, 7, 4
2019/6/20, 89, 36, 69, 26, 4, 3
2019/6/21, 95, 35, 84, 28, 5, 4
2019/6/22, 96, 29, 45, 21, 2, 3
2019/6/23, 76, 20, 41, 15, 2, 3
2019/6/24, 58, 15, 42, 20, 4, 3
2019/6/25, 44, 19, 65, 27, 3, 3
2019/6/26, 52, 27, 65, 31, 4, 3
2019/6/27, 74, 23, 22, 18, 3, 2
2019/6/28, 59, 21, 37, 20, 3, 2
2019/6/29, 55, 34, 40, 20, 4, 3
2019/6/30, 77, 33, 26, 15, 2, 2
2019/7/1, 58, 18, 48, 22, 2, 3
2019/1/2, 60, 12, 30, 13, 1, 3
2019/1/3, 50, 9, 29, 15, 1, 3
2019/1/4, 36, 14, 28, 23, 2, 5
2019/1/5, 45, 24, 29, 26, 2, 6
2019/1/6, 74, 14, 32, 13, 1, 3
2019/1/7, 56, 19, 26, 34, 4, 5
2019/1/8, 66, 29, 30, 38, 4, 7
2019/1/9, 86, 11, 32, 17, 2, 2
2019/1/10, 44, 19, 12, 33, 2, 5
2019/1/11, 58, 18, 29, 30, 2, 5
2019/1/12, 51, 18, 25, 30, 2, 5
2019/1/13, 56, 20, 32, 26, 2, 4
2019/1/14, 50, 14, 31, 27, 1, 4
2019/1/15, 42, 18, 15, 39, 2, 7
2019/1/16, 52, 22, 30, 30, 3, 5
2019/1/17, 58, 22, 31, 30, 4, 6
2019/1/18, 51, 14, 30, 27, 3, 4
2019/1/19, 36, 22, 25, 33, 5, 6
2019/1/20, 63, 27, 31, 31, 3, 5
2019/1/21, 70, 16, 31, 28, 3, 4
2019/1/22, 51, 16, 31, 19, 3, 4
2019/1/23, 44, 24, 33, 35, 3, 6
2019/1/24, 67, 12, 32, 23, 2, 3
2019/1/25, 45, 15, 28, 36, 2, 5
2019/1/26, 55, 12, 31, 20, 3, 4
2019/1/27, 40, 18, 30, 22, 2, 3
2019/1/28, 45, 24, 27, 35, 3, 5
2019/1/29, 64, 18, 32, 15, 3, 4
2019/1/30, 46, 22, 28, 34, 3, 5
2019/1/31, 50, 23, 27, 37, 3, 7
2019/2/1, 53, 15, 31, 24, 3, 6
2019/2/2, 36, 22, 30, 32, 2, 6
2019/2/3, 60, 29, 26, 30, 3, 6
2019/2/4, 78, 30, 34, 28, 3, 9
2019/2/5, 69, 32, 32, 33, 3, 6
2019/2/6, 79, 24, 24, 31, 3, 7
2019/2/7, 66, 36, 24, 31, 6, 8
2019/2/8, 83, 11, 31, 13, 3, 4
2019/2/9, 32, 17, 29, 28, 2, 5
2019/2/10, 56, 14, 33, 18, 2, 4
2019/2/11, 44, 19, 28, 20, 2, 4
2019/2/12, 54, 14, 32, 13, 2, 5
2019/2/13, 38, 20, 33, 24, 1, 6
2019/2/14, 62, 15, 35, 24, 2, 6
2019/2/15, 54, 17, 24, 37, 4, 6
2019/2/16, 62, 20, 35, 27, 2, 6
2019/2/17, 75, 27, 36, 12, 1, 6
2019/2/18, 78, 27, 35, 21, 3, 7
2019/2/19, 73, 15, 24, 41, 2, 8
2019/2/20, 64, 23, 33, 30, 3, 8
2019/2/21, 51, 26, 35, 26, 2, 6
2019/2/22, 75, 34, 39, 33, 3, 6
2019/2/23, 95, 23, 39, 24, 4, 5
2019/2/24, 72, 24, 41, 27, 3, 5
2019/2/25, 72, 27, 41, 35, 3, 6
2019/2/26, 75, 25, 43, 30, 1, 4
2019/2/27, 67, 17, 37, 37, 4, 5
2019/2/28, 60, 22, 36, 33, 4, 5
2019/3/1, 44, 26, 44, 26, 2, 5
2019/3/2, 58, 29, 44, 28, 1, 4
2019/3/3, 82, 28, 33, 26, 3, 5
2019/3/4, 73, 18, 40, 30, 3, 5
2019/3/5, 54, 28, 43, 32, 2, 5
2019/3/6, 73, 24, 36, 37, 3, 4
2019/3/7, 68, 20, 48, 29, 2, 3
2019/3/8, 55, 14, 37, 25, 3, 3
2019/3/9, 37, 18, 41, 30, 4, 4
2019/3/10, 57, 16, 35, 23, 1, 4
2019/3/11, 44, 11, 39, 29, 2, 4
2019/3/12, 34, 23, 42, 34, 3, 6
2019/3/13, 61, 17, 34, 29, 2, 4
2019/3/14, 53, 16, 35, 32, 3, 3
2019/3/15, 53, 24, 47, 32, 3, 4
2019/3/16, 69, 15, 39, 26, 2, 3
2019/3/17, 45, 15, 38, 21, 2, 3
2019/3/18, 48, 16, 36, 30, 4, 4
2019/3/19, 51, 19, 37, 36, 4, 5
